1,Bulldozer-2,Badlands precision,125,0.264,9,125,1.465,0.302
2,Bulldozer-2,Badlands precision,125,0.264,9,135,1.635,0.358
3,Bulldozer-2,Badlands precision,125,0.277,11,128,1.395,0.272
4,Bulldozer-2,Badlands precision,125,0.277,11,140,1.56,0.333
5,Bulldozer-2,Badlands precision,125,0.284,12,140,1.435,0.287
6,Bulldozer-2,Badlands precision,125,0.284,12,150,1.505,0.309
7,Bulldozer-2,Badlands precision,125,0.284,12,160,1.655,0.353
8,Bulldozer-2,Badlands precision,125,0.308,14,150,1.385,0.264
9,Bulldozer-2,Badlands precision,125,0.308,14,175,1.535,0.31
10,Bulldozer-2,Badlands precision,125,0.308,14,195,1.65,0.345
11,Bulldozer-2,Badlands precision,125,0.308,14,205,1.825,0.402
12,Bulldozer-2,Badlands precision,125,0.338,24,200,1.56,0.305
13,Bulldozer-2,Badlands precision,125,0.338,24,205,1.825,0.402
14,Bulldozer-2,Badlands precision,125,0.338,24,225,1.68,0.34
15,Bulldozer-2,Badlands precision,125,0.338,24,250,1.805,0.379
16,Super Bulldozer-2,Badlands precision,125,0.338,24,250,1.873,0.41
17,Super Bulldozer-2,Badlands precision,125,0.338,24,275,2,0.451
18,ICBM-2,Badlands precision,125,0.375,30,350,2.16,0.494
19,ICBM-2,Badlands precision,125,0.375,30,375,2.26,0.53
20,ICBM-2,Badlands precision,125,0.375,30,400,2.36,0.56
21,ICBM-2,Badlands precision,125,0.416,39,500,2.49,0.57
22,ICBM-2,Badlands precision,125,0.416,39,525,2.57,0.614
23,ICBM-2,Badlands precision,125,0.416,39,550,2.65,0.64
24,TTSX BT,Barnes,33,0.224,5,62,0.973,0.138
25,MatchBurner,Barnes,33,0.224,5,69,0.907,0.168
26,TSX BT,Barnes,33,0.224,5,70,1.037,0.155
27,TacX,Barnes,33,0.224,5,70,1.037,0.155
28,MatchBurner,Barnes,33,0.224,5,85,1.059,0.204
29,MatchBurner,Barnes,33,0.243,7,68,0.84,0.135
30,MatchBurner,Barnes,33,0.243,7,105,1.195,0.255
31,TTSX BT,Barnes,33,0.243,7,80,1.077,0.159
32,TSXFB,Barnes,33,0.257,8,115,1.224,0.164
33,TTSX BT,Barnes,33,0.257,8,80,1.012,0.148
34,TTSX BT,Barnes,33,0.264,9,100,1.154,0.177
35,TTSX BT,Barnes,33,0.264,9,120,1.32,0.203
36,LRX BT,Barnes,33,0.264,9,127,1.4,0.227
37,Match Burner,Barnes,33,0.264,9,140,1.38,0.288
38,TTSX BT,Barnes,33,0.277,11,110,1.164,0.172
39,TTSX BT,Barnes,33,0.277,11,130,1.321,0.191
40,TSX BT,Barnes,33,0.277,11,130,1.224,0.194
